PERIOD	PRIMARY SECTOR	SECONDARY SECTOR	TERTIARY SECTOR	Gross Domestic Product Million Euro(Non-seasonally adjusted data)	Total Unemployment Rate	Unemployment Rate Age 15-19	Unemployment Rate Age 20-24	Unemployment Rate Age 25-29	Unemployment Rate Age 30-44	Unemployment Rate Age 45-64	Unemployment Rate Age 65 +	Unemployment (x1000) Age 15-19	Unemployment (x1000) Age 20-24	Unemployment (x1000) Age 25-29	Unemployment (x1000) Age 30-44	Unemployment (x1000) Age 45-64	Unemployment (x1000) Age 65 +
2001 Q1	680.3	970.9	2555.5	35174	11.2	35.5	27.6	17.4	9.2	5.4	1.4	31.9	123.3	116	181.2	78.5	1.4
2001 Q2	670.2	974.1	2579.4	36616	10.5	35	26.5	16.2	8.3	4.9	1.2	32.1	118.2	108.9	162.2	70.6	1.1
2001 Q3	666.6	966.1	2593.3	39685	10.2	32.5	25.7	16	8.1	4.7	1.5	31.2	115.2	107.3	159.2	67.5	1.3
2001 Q4	648	962	2542.3	40513	11.2	36	27	17.9	9	5.5	2	30.6	119.6	119.9	174.8	79.8	1.6
2002 Q1	642.2	959.8	2568.2	37140	11.4	35.9	27.3	17.3	9.4	5.7	2	28.9	122.5	116.4	184.6	83	1.8
2002 Q2	652	976.5	2653.7	39454	10	30	25.1	16.2	8.1	4.6	0.7	24.2	110.7	109.9	160.6	68.2	0.7
2002 Q3	660.9	982	2668.8	41940	9.8	32.3	24.3	16.2	8	4.4	1.3	27.2	105.7	110.4	160.1	66.3	1.2
2002 Q4	656	979.1	2660.4	43741	10.2	35.2	24.7	17	8.5	4.7	1.6	26.6	104.7	116.1	169.1	70.1	1.5
2003 Q1	660.9	978.6	2663.9	40747	10.4	36.4	25	16.3	8.8	5	1.1	27.4	107.5	112.1	177.2	75.9	1.1
2003 Q2	656.3	984.3	2725.5	43240	9.4	30.8	24.5	15.4	7.9	4.1	1.2	21.8	102.6	106.2	159.3	62.5	1.2
2003 Q3	657	988	2743.3	46477	9.3	30.7	25.8	15.5	7.9	3.7	0.9	21.5	105.2	107.1	159.1	57.7	0.9
2003 Q4	654.2	988	2712.6	48108	10	33.7	27	17.2	8.3	4.3	1.5	20.8	108.5	119.6	167	66.7	1.5
2004 Q1	540.6	968.7	2821.1	44584	11.4	39	26.3	16.1	10	5.8	1	33.3	116.6	112.1	206.3	89.3	0.7
2004 Q2	545.6	990.3	2874.2	47361	10.3	34.1	24.8	15.6	8.9	5	1.4	25.7	109.3	107.5	186	77.5	1.1
2004 Q3	542.5	987.3	2886.3	50512	10.2	31.6	24.1	16.1	8.9	5	0.6	23.1	101	110.3	187.7	77.3	0.5
2004 Q4	545.2	986	2870.5	50557	10.5	30.9	25.5	16.2	9.1	5.4	1.4	20.6	107.3	111.7	190.4	83.6	1.1
2005 Q1	544.7	999.8	2850.7	45711	10.5	32.9	24.2	15.9	9.3	5.8	1.8	21	99	109.8	195.3	91	1.4
2005 Q2	542.9	997.8	2914.8	49026	9.8	31.2	24	14.8	8.8	5	1.5	19.9	94.6	101.5	185.4	79.2	1.3
2005 Q3	543.4	992.1	2925.5	51616	9.8	32.4	24.9	15.1	8.8	4.9	1.4	21.2	95.8	103.5	185.6	79.2	1.2
2005 Q4	530.2	990.1	2942.2	52800	9.9	35.7	25.2	14.6	8.8	5.1	1.5	22.3	95.3	101.4	185.9	82.1	1.3
2006 Q1	535.7	984.6	2961.7	49926	9.8	31.3	24.1	14.6	8.8	5.3	2.1	20.2	92.2	103	185.1	86.1	1.9
2006 Q2	533.8	995.3	3002.5	53874	8.9	32.3	22.9	13.8	7.9	4.4	1.1	20.5	83.3	96.5	167.5	71.9	1
2006 Q3	528	1002	3037.9	55920	8.4	30.2	23.1	13.7	7.4	4	0.6	19	81.8	95.2	159	65.3	0.5
2006 Q4	525.8	1005.9	2996.9	58111	8.9	33.2	25.2	13.7	7.9	4.4	1	18.8	87.5	93.5	169.5	72.6	0.9
2007 Q1	525.5	1010.7	2975.4	52873	9.2	31.3	23.8	14.5	8.4	4.8	1	17.5	83.1	99.6	178.8	79.2	0.9
2007 Q2	519.3	1019.5	3033.6	58261	8.2	24.9	21.1	14.2	7.2	4.1	1.3	14.8	71.5	98.1	155.3	67.7	1.2
2007 Q3	510	1036	3049.8	59921	8	23.7	21.6	13.9	7	3.8	1	14.6	73	96.3	149.6	64	0.8
2007 Q4	513.5	1031.3	3031.6	61776	8.2	26.9	21.5	14.3	7.2	4	1.2	15.4	71.2	98.8	153.9	67.2	1
2008 Q1	516.1	1028.8	3022.3	56017	8.4	28.1	22.4	14.1	7.4	4.4	0.8	15.3	71.6	96.8	159.9	74.3	0.7
2008 Q2	516	1031.2	3090.1	60778	7.3	26.2	19.4	12.7	6.5	3.7	0.7	13.7	63.2	86.6	139.6	62.9	0.6
2008 Q3	510.5	1031.8	3097.3	62789	7.3	21.4	21	12.5	6.5	3.5	1.1	11	67.6	84.1	140.1	60.1	1
2008 Q4	512.5	1005.9	3079.4	62512	8	29.1	21.8	12.9	7.2	4.3	0.7	15	70	87	156.4	73.2	0.6
2009 Q1	517.7	979.6	3048.3	53563	9.5	33.7	24	14.8	8.6	5.5	0.9	16.8	78.6	99.3	186.9	94.3	0.8
2009 Q2	526	965.7	3093	60074	9	31.1	23.4	14	8.1	5.4	0.7	15.2	74.7	94.7	176.5	93.8	0.6
2009 Q3	541.2	970.7	3073.4	61072	9.4	28.8	24	15.2	8.3	5.7	0.8	16.3	77	102.7	182.5	98.7	0.7
2009 Q4	546.6	935	3026.9	62722	10.5	32.2	27.7	16.3	9.4	6.3	1	16.6	86.1	109.5	205.9	109.6	0.9
2010 Q1	557.7	894.9	2993.5	54490	11.9	33.5	30.2	17.8	11.1	7.4	1.1	15.5	94.4	117.5	242.3	129.5	1
2010 Q2	546.6	883.2	3006.8	57411	12	36.9	30.6	18.2	11	7.5	1.2	16.1	95	118.8	242.3	131.4	1
2010 Q3	545.5	852	3000.5	57570	12.6	38.2	32	19.7	11.5	7.6	1.5	16.8	99.8	128.3	252.5	133.3	1.2
2010 Q4	527	809.2	2942.3	56739	14.4	48.4	35.7	23.2	13.3	8.7	1.6	20.1	109.3	146.3	291.1	152.7	1.4
2011 Q1	512.9	760.4	2892.2	49139	16.1	56.4	37.9	26.3	15	9.9	2.1	21	113.4	163.8	327.5	172.2	1.8
2011 Q2	503.6	729.3	2891.3	53152	16.5	54.9	41.7	27.4	15	10.1	1.8	22.1	121.3	171.1	324.9	174.8	1.4
2011 Q3	497.3	712.6	2830.8	53727	17.9	54.9	43.9	30.1	16.2	10.9	3.1	25.1	127.2	189.5	351.1	188.2	2.3
2011 Q4	488.9	666.4	2731.6	51734	20.9	59.7	48.6	33.9	19.1	13.5	3.4	28.5	140.7	210.5	414.8	231.6	2.4
2012 Q1	480.8	641.1	2663.1	45922	22.8	63.3	51	35.7	21.4	15.1	3.1	30.5	145.3	214.3	467	260.1	2
2012 Q2	484.3	615	2630.6	49251	23.8	64.2	52.3	36.6	22.4	16	4.1	29.2	148.5	219.3	486.2	277.3	2.6
2012 Q3	481.7	607.7	2578.5	50464	24.9	66.4	54.9	37.9	23.3	17.1	4.5	31.9	153.5	228.3	504.4	297.6	2.7
2012 Q4	475.2	581.2	2540.7	48567	26.2	69.3	56.1	39.3	25	18.1	6.2	30.7	158.1	232.6	538.6	316.2	3.7
2013 Q1	475.4	558.3	2470.4	43059	27.6	74	57.9	41.1	26.1	19.6	7.4	31.5	160.6	235.8	562.4	341.4	4.2
2013 Q2	481.1	552.3	2501.6	46420	27.3	73.1	57	44.1	25.5	18.8	10.9	31.7	154.6	253.7	549.9	331.5	6.5
2013 Q3	488.8	542.1	2502.7	47722	27.2	70.3	54.9	43.5	25.9	18.9	8.2	32.2	147.3	245.7	558	332.3	4.9
2013 Q4	478.9	533.7	2467.3	45236	27.8	71.4	54.4	44.5	26.5	19.5	9.7	30.4	146.1	248.1	565.4	341.2	6
2014 Q1	479.6	527	2477.1	41394	27.8	71.6	54.6	42.4	26.7	20.3	12.6	27.8	144.3	232.7	570.4	358.9	8.1
2014 Q2	475.9	531.8	2531.3	44591	26.6	63	50.3	40	25.5	19.9	10.2	24.9	134.1	218.6	544.9	351.2	6.5
2014 Q3	483.6	533.1	2570.2	48213	25.5	58.4	48.4	39.7	24.7	18.5	9.3	20.5	133.9	218.9	524	326.2	5.9
2014 Q4	480.4	526.8	2528.1	44884	26.1	53.1	51.3	41.1	24.7	19.3	10.9	18.4	137.6	220.9	521.9	340.1	6.9
